2020-09-13 12:41:10.784 UTC [1089] LOG:  checkpoint starting: time
2020-09-13 12:41:25.064 UTC [1089] LOG:  checkpoint complete: wrote 1709 buffers (10.4%); 0 WAL file(s) added, 0 removed, 1 recycled; write=14.262 s, sync=0.005 s, total=14.280 s; sync files=41, longest=0.002 s, average=0.000 s; distance=12868 kB, estimate=19337 kB
2020-09-13 12:42:10.106 UTC [1089] LOG:  checkpoint starting: time
2020-09-13 12:42:25.098 UTC [1089] LOG:  checkpoint complete: wrote 2051 buffers (12.5%); 0 WAL file(s) added, 0 removed, 1 recycled; write=14.967 s, sync=0.009 s, total=14.991 s; sync files=40, longest=0.002 s, average=0.000 s; distance=15881 kB, estimate=18991 kB
2020-09-13 12:42:40.102 UTC [1089] LOG:  checkpoint starting: time
2020-09-13 12:42:55.106 UTC [1089] LOG:  checkpoint complete: wrote 1878 buffers (11.5%); 0 WAL file(s) added, 0 removed, 1 recycled; write=14.976 s, sync=0.005 s, total=15.004 s; sync files=5, longest=0.002 s, average=0.001 s; distance=20490 kB, estimate=20490 kB
2020-09-13 12:43:10.122 UTC [1089] LOG:  checkpoint starting: time
2020-09-13 12:43:25.032 UTC [1089] LOG:  checkpoint complete: wrote 2148 buffers (13.1%); 0 WAL file(s) added, 0 removed, 2 recycled; write=14.883 s, sync=0.008 s, total=14.910 s; sync files=17, longest=0.002 s, average=0.000 s; distance=20300 kB, estimate=20471 kB
2020-09-13 12:43:40.046 UTC [1089] LOG:  checkpoint starting: time
2020-09-13 12:43:55.026 UTC [1089] LOG:  checkpoint complete: wrote 2043 buffers (12.5%); 0 WAL file(s) added, 0 removed, 1 recycled; write=14.959 s, sync=0.008 s, total=14.979 s; sync files=6, longest=0.003 s, average=0.001 s; distance=22101 kB, estimate=22101 kB
2020-09-13 12:44:10.038 UTC [1089] LOG:  checkpoint starting: time
2020-09-13 12:44:25.032 UTC [1089] LOG:  checkpoint complete: wrote 2230 buffers (13.6%); 0 WAL file(s) added, 0 removed, 1 recycled; write=14.973 s, sync=0.007 s, total=14.994 s; sync files=16, longest=0.002 s, average=0.000 s; distance=21983 kB, estimate=22090 kB
2020-09-13 12:44:40.047 UTC [1089] LOG:  checkpoint starting: time
2020-09-13 12:44:55.043 UTC [1089] LOG:  checkpoint complete: wrote 2014 buffers (12.3%); 0 WAL file(s) added, 0 removed, 2 recycled; write=14.971 s, sync=0.007 s, total=14.995 s; sync files=6, longest=0.003 s, average=0.001 s; distance=21567 kB, estimate=22037 kB
2020-09-13 12:45:10.054 UTC [1089] LOG:  checkpoint starting: time
2020-09-13 12:45:25.057 UTC [1089] LOG:  checkpoint complete: wrote 2133 buffers (13.0%); 0 WAL file(s) added, 0 removed, 1 recycled; write=14.980 s, sync=0.007 s, total=15.002 s; sync files=14, longest=0.002 s, average=0.000 s; distance=21034 kB, estimate=21937 kB
2020-09-13 12:45:40.072 UTC [1089] LOG:  checkpoint starting: time
